filename,sentence,reason,T1,T2,T3,T4,ambiguity_num
57_admin.xmi,Every order is initially created and eventually completed.,The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,To create an order the respective payment needs to be completed successfully first.,The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,"The payment selection can be done either via credit card, mobile pay or cash.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,To pay in cash it must be done via the cashier.,The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,The customisation of a possible order can be done multiple times but only before the validation process; once validated the payment type can be chosen.,"The sequence and relationship between customization, validation, and payment selection are not clearly defined.",T1_true,T2_false,T3_false,T4_false,0
57_admin.xmi,To do so the customer interacts with the kiosk where the selection of the language (optional) and of the items to add to the current possible order are made.,The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,The selection for the order type (eat-in or take-away) is made only before the payment selection and after the confirmation/validation of the current possible order.,"The sequence and relationship between order type selection, payment selection, and validation are not clearly defined.The rule is straightforward and clear.",T1_true,T2_false,T3_false,T4_false,0
57_admin.xmi,"The payment can be done directly at the kiosk either via card, where the POS has to be activated and processes the transaction after having successfully read the credit card or via mobile pay.",The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,If paid by cash the cashier has to handle the payment.,The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,"Upon successful payment the receipt is printed, either at the kiosk or by the cashier and the order is created in the system.",The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,"After creating an order, it cannot be modified, but its status can be tracked via the KDS screens.",The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,A created order can change its status and is displayed on the KDS System.,The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,Its first status is “Order Received”.,The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,Once the order is being prepared its status changes into “Order In Progress” and finally “Order Ready”.,The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
57_admin.xmi,"The KDS System is interacted by the Cook, who starts preparing the order not before the “Order Received” status is sent to him and on preparation the cook changes it to “Order in preparation”.","The relationship between the statuses ""Order In Progress"" and ""Order in preparation"" is unclear, they might be the same.",T1_true,T2_true,T3_false,T4_false,0
57_admin.xmi,"The customer can collect the order after the order has been assembled by the Order Assembler, who also updates the status to “Order Ready” status which is displayed on the screen.",The rule is straightforward and clear,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,"When a customer wishes to dine at the restaurant, they must reserve a table via the restaurant’s website, selecting a free table for a specified time.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,"If the reservation is successful, the restaurant’s web server must generate a secure link, which must be emailed to the customer, otherwise the web server must send a notification to customer saying the reservation is failed.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,The secure link can only be activated when the customer arrives at the restaurant no later than fifteen minutes past the reserved time and connects to the restaurant’s Wi-Fi.,The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,"Once the secure link is accessed, the ordering system must lead the customer to the restaurant’s menu, where they can view and select items to order.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,"The customer must complete payment for the order using MobilePay, GooglePay, or a similar service before the order is sent to the kitchen.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,"After payment is confirmed, the ordering system must send the order to kitchen and notify the customer that their meal is being prepared.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,Afterwards the ordering system must send another notification when the meal is ready for service.,The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
64_admin.xmi,"Concurrently, the ordering system must send a notification to the waiters on their pager indicating that the meal is ready, and the waiters must pick up the meal from the kitchen and serve it to the customer’s table.",The coordination between the customer notification and the waiter notification is not clearly defined,T1_true,T2_false,T3_false,T4_false,0
64_admin.xmi,"While dining, the customer may place additional orders by accessing the menu through the previously provided secure link, following the same procedure of ordering and pre-payment.",The rule is straightforward and clear.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,"The process spans five departments within the company: Executives, Customer Service, Finance, IT SYSOPS (system operations) and IT DEVOPS (development operations).",Straightforward initiation of the process with no apparent ambiguities.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,"The roles involved in the process are the Global Relationship Manager (GRM), a Customer Service Consultant (CSC), an accountant, the DataBase Administrator (DBA) and the Head of Development (HoD):

The GRM receives a request to become retailer.",Clear follow-up action required by the GRM.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,Afterwards the GRM must request more information from the potential retailer.,Logical sequence that clearly depends on the preceding action.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,The retailer can only provide the requested information after the request has been made.,Specifies the flow of information clearly.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,"Once the information has been provided, the information must be forwarded to the CSC by the GRM.",Clear conditional step that follows the forwarding of information.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,Only after the information has been forwarded the CSC register the information in Oracle.,Specifies a constraint that prevents ambiguity in the data handling process.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,The information can only be registered in Oracle once during the process.,Direct and specific action required from the CSC.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,Afterwards the CSC must create a Jira task for the HoD.,Implies a trigger for action based on the completion of the previous task.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,Then the HoD knows that he must create a contract.,Clearly states a rule to avoid duplicity and ensure clarity in contract creation.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,The creation of the contract should only happen once to prevent misunderstandings within the process.,"Defines a strict order of operations, enhancing process clarity.",T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,Only once the contract has been created the HoD can send the contract.,Clearly outlines the potential outcomes following the contract sending.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,"After sending the contract two scenarios are possible: a) the contract is reviewed by retailer, b) the request is automatically cancelled after 30 days of no response from retailer.",Clearly outlines the potential outcomes following the contract sending.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,If the request is cancelled automatically the rest of the process will be cancelled as well.,Specifies the consequences of the scenario where the retailer does not respond.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,If the contract is reviewed by retailer two additional options are possible: retailer signs contract or retailer rejects contract.,Provides clear options for proceeding in case of contract rejection.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,"If the retailer rejects the contract, the request will either be cancelled or the HoD will refine the contract due to errors in the contract.",Provides clear options for proceeding in case of contract rejection.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,Rejection of the contract will disable the rest of the process from happening.,Explicitly states the impact of a contract rejection on the process continuation.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,If the request is cancelled by the retailer the process will be cancelled.,Straightforward statement of the process termination upon retailer-initiated cancellation.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,If the contract is refined it eliminates the option to cancel the request before the contract has been sent once again.,"Ambiguous how the refinement process impacts the ability to cancel the request, needing more clarity on the conditions that remove the cancellation option.",T1_true,T2_false,T3_true,T4_false,2
18_admin.xmi,"If the retailer chooses to sign the contract during contract review, it shouldn’t be possible to obtain more information, send the contract or cancel the request.","Specifies the restrictions once the contract is signed, enhancing process control and preventing redundant actions.",T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,After the retailer has signed the contract the GRM must receive the signed contract.,Direct action required by the GRM following the retailer's signature.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,After that the Finance department must create an invoice.,Clearly specifies the next step in the financial workflow,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,The invoice can only be created once but can be sent multiple times after it has been created.,Clearly defines a constraint on the creation of the invoice and flexibility in its distribution.,T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,After the invoice has been sent the retailer must pay the invoice once before the finance department will receive the payment one time.,"Specifies the payment process, outlining a clear sequence of payment and receipt acknowledgment.",T1_false,T2_false,T3_false,T4_false,0
18_admin.xmi,After the payment has been received the finance department must notify the GRM and the CSC.,Describes a clear communication step within the company,T1_false,T2_false,T3_false,T4_false,0
